mode,channel,feature,global_event,attack_id,target_class,reliable_imputer,seeds,mean_delta_normalized_score,min_delta_normalized_score,max_delta_normalized_score,positive_seeds,mean_detection_drop,mean_alarm_delay_increase,max_abs_fpr_shift,stable_targeted_cell
loo_sample,4,P1_B3005,2,A102,control_only,False,3,0.07694773504271923,0.06022565698615878,0.10600837521778594,3,0.0,0.0,1.5270750404700138e-05,False
loo_sample,4,P1_B3005,9,A204,mixed_control_sensor,False,3,0.0026550325032395814,-3.1232753641807776e-05,0.0044945884713589734,2,0.0,0.3333333333333333,1.5270750404700138e-05,False
loo_sample,4,P1_B3005,26,A301,control_only,False,3,0.03094619249190696,0.02243079035764528,0.04045760794704589,3,0.0,0.6666666666666666,1.5270750404700138e-05,False
loo_sample,4,P1_B3005,27,A302,mixed_control_sensor,False,3,0.016586475433221892,0.01459070201161361,0.018177731781209072,3,0.0,0.0,1.5270750404700138e-05,False
loo_sample,4,P1_B3005,35,A402,mixed_control_sensor,False,3,0.002265474045576088,-0.000907970123364521,0.004475148180151267,2,0.0,0.6666666666666666,1.5270750404700138e-05,False
loo_sample,4,P1_B3005,50,A512,mixed_control_sensor,False,3,0.005383159402473729,-4.323879961765087e-05,0.008241309755247839,2,0.0,0.0,1.5270750404700138e-05,False
loo_sample,13,P1_FCV03D,11,A206,mixed_control_sensor,True,3,0.0006168642290336201,-0.0003393180442761712,0.001860394356892503,2,0.0,0.0,7.635375202299979e-06,False
loo_sample,13,P1_FCV03D,21,A216,control_only,True,3,0.05881210271466366,0.05026702733205013,0.06386826732139045,3,0.0,0.0,7.635375202299979e-06,True
loo_sample,13,P1_FCV03D,23,A218,control_only,True,3,0.0002148802553899228,-0.002993325427480986,0.006333977097480847,1,0.0,0.0,7.635375202299979e-06,False
loo_sample,13,P1_FCV03D,32,A307,control_only,True,3,-0.004721533117874562,-0.025269459595612886,0.014728549913677114,1,0.0,0.0,7.635375202299979e-06,False
loo_sample,13,P1_FCV03D,40,A502,mixed_control_sensor,True,3,0.0010848309380414218,-0.0015452586857691575,0.0036565819815352896,2,0.0,0.0,7.635375202299979e-06,False
loo_sample,13,P1_FCV03D,42,A504,control_only,True,3,0.0028392337863286285,-0.0020612255466174734,0.008594894752114834,2,0.0,0.0,7.635375202299979e-06,False
loo_sample,13,P1_FCV03D,46,A508,control_only,True,3,0.019202970235164152,0.0034987307282621227,0.03126163304150631,3,0.0,0.0,7.635375202299979e-06,False
loo_sample,13,P1_FCV03D,50,A512,mixed_control_sensor,True,3,0.0014866971035652672,0.0002567299423823499,0.0023224570790598698,3,0.0,0.0,7.635375202299979e-06,False
loo_sample,15,P1_LCV01D,3,A103,control_only,True,3,-0.005807989818682173,-0.02585682935812228,0.008687118665181792,1,0.0,0.0,7.635375202399725e-06,False
loo_sample,15,P1_LCV01D,8,A203,control_only,True,3,0.1891903938220744,0.15194081164172013,0.21773271924116844,3,0.0,0.0,7.635375202399725e-06,True
loo_sample,15,P1_LCV01D,18,A213,mixed_control_sensor,True,3,-0.007518320807425427,-0.018333721083269694,7.584654009296088e-06,1,0.0,0.0,7.635375202399725e-06,False
loo_sample,15,P1_LCV01D,26,A301,control_only,True,3,0.008122032196593798,0.0016024828397369628,0.019190269024213502,3,0.0,0.6666666666666666,7.635375202399725e-06,False
loo_sample,15,P1_LCV01D,28,A303,control_only,True,3,-0.003093913066421372,-0.012609251860262294,0.005824081094837119,1,0.0,0.0,7.635375202399725e-06,False
loo_sample,15,P1_LCV01D,33,A308,mixed_control_sensor,True,3,-0.00282231810815207,-0.006660490600161051,0.002901643648184127,1,0.0,0.0,7.635375202399725e-06,False
loo_sample,15,P1_LCV01D,37,A404,mixed_control_sensor,True,3,-0.004469589065129842,-0.012013707905677684,0.0009284099345268082,1,0.0,0.0,7.635375202399725e-06,False
