seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms
42,zero,22,P3_LCV01D,False,0.6183477640151978,401855,8947,50,0.8388791471060658,0.5008021664067812,0.0026367495698738637,0.84,43.94,0.674351866071457,0.5453057085627756,0.6030019077428435,1298,65
42,zero,23,P4_HT_LD,False,0.6135789752006531,401855,8947,50,0.8479974094034727,0.5052032716989624,0.0026622008205483215,0.84,44.04,0.6875705402971505,0.5566445235878601,0.6152190034441292,1295,57
42,zero,24,P4_HT_PS,False,0.6077483296394348,401855,8947,50,0.8415357693891005,0.5000084121788646,0.0026647459456157676,0.84,44.02,0.687848218126968,0.5573976868248849,0.6157900285332238,1293,57
42,zero,25,P4_LD,True,0.6020016074180603,401855,8947,50,0.8445123975548189,0.5040669034701519,0.0026774715709529965,0.84,44.22,0.6836604301489254,0.5587898960452649,0.6149502038658895,1299,60
42,zero,26,P4_ST_GOV,True,0.6049795746803284,401855,8947,50,0.8460921726427737,0.5031852298402445,0.0026927423213576715,0.84,44.02,0.6877724090853725,0.5688961006145662,0.6227116198405903,1299,57
42,zero,27,P4_ST_LD,True,0.6131846904754639,401855,8947,50,0.8475230954639097,0.5016495870956309,0.002674926445885551,0.84,44.02,0.6800168836113288,0.5570104512102791,0.6123979648769485,1299,61
42,zero,28,P4_ST_PS,False,0.6057837605476379,401855,8947,50,0.8465240516640123,0.5041220017353688,0.0026545654453459843,0.84,44.04,0.6855664634495727,0.5571738337683142,0.6147377623439398,1290,58
43,original,0,original,True,0.5937371850013733,401855,8947,50,0.8535237075637859,0.504999405540468,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,1,P1_B2004,True,0.5936840176582336,401855,8947,50,0.8535229847334745,0.5049975798582221,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,2,P1_B2016,True,0.5936431288719177,401855,8947,50,0.8535012642657731,0.5049785208867328,0.0026927423213576715,0.84,43.7,0.6886561568971702,0.5503978681199498,0.611813323666243,1133,57
43,loo_sample,3,P1_B3004,False,0.5943230390548706,401855,8947,50,0.8500083231876423,0.5016059680150653,0.0027054679466949005,0.84,43.74,0.6897853233379457,0.5501878114275721,0.6121285482107339,1130,56
43,loo_sample,4,P1_B3005,False,0.594778299331665,401855,8947,50,0.8505092390463606,0.5014445078423156,0.0026774715709529965,0.84,43.74,0.6894959652850599,0.5495752793083724,0.6116354315491652,1123,56
43,loo_sample,5,P1_B4002,True,0.5937332510948181,401855,8947,50,0.8535242176128801,0.5049950327619606,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,6,P1_B4005,False,0.5935096144676208,401855,8947,50,0.8531819877561386,0.5048439282556981,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,7,P1_B400B,False,0.5935364365577698,401855,8947,50,0.8535207555088639,0.5049937623019476,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,8,P1_B4022,True,0.5937267541885376,401855,8947,50,0.8535175474337607,0.5049912752254793,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,9,P1_FCV01D,False,0.5937519669532776,401855,8947,50,0.8534982950006055,0.5049929271024046,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,10,P1_FCV01Z,False,0.5937507152557373,401855,8947,50,0.8535106414316078,0.5049948089065649,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,11,P1_FCV02D,False,0.5952235460281372,401855,8947,50,0.853650032899333,0.5049446958803272,0.002690197196290226,0.84,43.72,0.688299172638113,0.5501456858193459,0.611516641688073,1132,57
43,loo_sample,12,P1_FCV02Z,False,0.5935720205307007,401855,8947,50,0.8535130767524642,0.5049979968750611,0.0026927423213576715,0.84,43.7,0.6886561568971702,0.5503978681199498,0.611813323666243,1133,57
43,loo_sample,13,P1_FCV03D,True,0.5942506194114685,401855,8947,50,0.8527062799289228,0.5050030641975308,0.0026927423213576715,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57
43,loo_sample,14,P1_FCV03Z,True,0.5938495397567749,401855,8947,50,0.8528349027611286,0.5040983354031771,0.0026927423213576715,0.84,43.7,0.6886518011687728,0.5503221105441923,0.6117647983810937,1132,57
