variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F0-C,42,42,11,0.9424195553632428,0.9782176003526305,1.0,12.25,0.0,tcn
F0-C,42,42,12,0.7993977007540876,0.915162582133056,1.0,27.75,0.0,tcn
F0-C,42,42,13,0.9887514685414687,0.9962747129571562,1.0,37.45,0.0,tcn
F0-C,42,42,14,0.9965833712411194,0.9986734155029141,1.0,5.9,0.0,tcn
F0-C,42,42,15,0.5188824260736533,0.7200111772833067,0.0,,0.0,tcn
F0-C,42,42,16,0.5116321490078022,0.7157638545867423,0.0,,0.0,tcn
F0-C,42,42,17,0.9849908743939377,0.9947732749581674,1.0,32.95,0.0,tcn
F0-C,42,42,18,0.9354155433017867,0.9761319551887924,1.0,59.6,0.0,tcn
F0-C,42,42,19,0.7704532784995667,0.9007351562892669,1.0,123.55,0.0,tcn
F0-C,42,42,20,0.9846655670326772,0.9947313352821402,1.0,43.55,0.0,tcn
F0-C,42,42,21,0.5017404943914968,0.7081043462508135,0.0,,0.0,tcn
F0-C,42,42,22,0.5421409269717288,0.7360166263846554,0.0,,0.0,tcn
F0-C,42,42,23,0.5198162027123483,0.7210243760165875,0.0,,0.0,tcn
F0-C,42,42,24,0.855523127447826,0.9402996901479286,1.0,36.5,0.0,tcn
F0-C,42,42,25,0.6304910291070158,0.8024209070168333,0.55,528.6363636363636,0.0,tcn
F0-C,42,42,26,0.5371213813473968,0.7347432692821634,0.1,1118.0,0.0,tcn
F0-C,42,42,27,0.7881981936169452,0.9059852519750888,1.0,35.2,0.0,tcn
F0-C,42,42,28,0.5677225710971314,0.7641281904513959,0.05,1212.0,0.0,tcn
F0,43,42,1,0.998921397126898,0.9996283463602518,1.0,7.2,0.0,tcn
F0,43,42,2,0.9974474345366435,0.9991099492144473,1.0,16.65,0.0,tcn
F0,43,42,3,0.5212238112673035,0.7198077444128488,0.0,,0.0,tcn
F0,43,42,4,0.5007994474709034,0.7097621077433725,1.0,4.0,0.0,tcn
F0,43,42,5,0.4944005238054733,0.7050457477555627,0.0,,0.0,tcn
F0,43,42,6,0.9995971789210519,0.9998667612638477,1.0,3.0,0.0,tcn
F0,43,42,7,0.51163475632382,0.7217199931299085,1.0,4.0,0.0,tcn
F0,43,42,8,0.9920524693070211,0.9972921030468357,1.0,29.5,0.0,tcn
F0,43,42,9,0.5283626887530373,0.7269344967707269,0.0,,0.0,tcn
F0,43,42,10,0.9603108746651479,0.9856066349518096,1.0,38.85,0.0,tcn
F0,43,42,11,0.940841186100725,0.9775402480899287,1.0,11.5,0.0,tcn
F0,43,42,12,0.8003436417855985,0.9154118653279699,1.0,25.65,0.0,tcn
F0,43,42,13,0.9887136809508136,0.996263090765178,1.0,37.9,0.0,tcn
F0,43,42,14,0.9964568979226534,0.9986207011081657,1.0,5.95,0.0,tcn
F0,43,42,15,0.5182685233468816,0.7196562012679285,0.0,,0.0,tcn
F0,43,42,16,0.5121962846671326,0.7157356389788324,0.0,,0.0,tcn
F0,43,42,17,0.9842474256606741,0.9944856521612243,1.0,33.05,0.0,tcn
F0,43,42,18,0.9336901781234475,0.9754866929745446,1.0,59.45,0.0,tcn
F0,43,42,19,0.7731265078361249,0.9021591243119629,1.0,128.65,0.0,tcn
F0,43,42,20,0.9843417667370581,0.9945920485389059,1.0,43.45,0.0,tcn
F0,43,42,21,0.5030442972512849,0.7089503869637991,0.0,,0.0,tcn
F0,43,42,22,0.5429547393362008,0.7366609725301664,0.0,,0.0,tcn
F0,43,42,23,0.5196641709166534,0.7210886868628309,0.0,,0.0,tcn
F0,43,42,24,0.8565029697514359,0.940580260779165,1.0,35.7,0.0,tcn
F0,43,42,25,0.6301819635370245,0.8017961110117232,0.4,635.625,0.0,tcn
F0,43,42,26,0.5363966461163319,0.7338393365221204,0.1,1097.5,0.0,tcn
F0,43,42,27,0.7867833486813638,0.905400159965039,1.0,32.3,0.0,tcn
F0,43,42,28,0.567521773862489,0.7640214048434939,0.0,,0.0,tcn
F1,43,42,1,0.9989746128782919,0.9996469945423898,1.0,6.95,0.0,tcn
F1,43,42,2,0.997736399734214,0.9992090606657617,1.0,15.55,0.0,tcn
F1,43,42,3,0.5389641682045516,0.7317667566589786,0.0,,0.0,tcn
F1,43,42,4,0.6220470820866911,0.7816599077031154,1.0,4.0,0.0,tcn
F1,43,42,5,0.4943470984825791,0.704863345344972,0.0,,0.0,tcn
F1,43,42,6,0.9995986520854213,0.9998681531966929,1.0,3.0,0.0,tcn
F1,43,42,7,0.9992864182874557,0.9997612378465439,1.0,4.0,0.0,tcn
F1,43,42,8,0.9924085004666048,0.9974186347680992,1.0,26.3,0.0,tcn
F1,43,42,9,0.5421669847222377,0.736482517445114,0.0,,0.0,tcn
F1,43,42,10,0.9603320198131362,0.9856312935652065,1.0,38.45,0.0,tcn
F1,43,42,11,0.9500859951995799,0.9809219364647664,1.0,11.05,0.0,tcn
F1,43,42,12,0.8042237132618079,0.917135161227502,1.0,26.05,0.0,tcn
F1,43,42,13,0.9888418832341567,0.9963087559289916,1.0,36.45,0.0,tcn
F1,43,42,14,0.9962836994054334,0.998552767210606,1.0,5.9,0.0,tcn
F1,43,42,15,0.5191362294881894,0.7205218465288616,0.0,,0.0,tcn
F1,43,42,16,0.5125430083865583,0.7157256339886,0.0,,0.0,tcn
F1,43,42,17,0.9841772654370984,0.9944332701055615,1.0,32.7,0.0,tcn
F1,43,42,18,0.9354913003171926,0.9759903032020242,1.0,59.5,0.0,tcn
F1,43,42,19,0.9516594611053787,0.9810643273189366,1.0,35.9,0.0,tcn
F1,43,42,20,0.98632499115485,0.9954063767997854,1.0,43.75,0.0,tcn
F1,43,42,21,0.502888465431181,0.7086429026277341,0.0,,0.0,tcn
F1,43,42,22,0.5603732098587365,0.7495331818700136,0.0,,0.0,tcn
F1,43,42,23,0.550440932272655,0.7415639075372773,0.0,,0.0,tcn
F1,43,42,24,0.968076626737132,0.988151927540992,1.0,17.7,0.0,tcn
F1,43,42,25,0.9207250834895874,0.9702537819580636,1.0,21.55,0.0,tcn
F1,43,42,26,0.9242219288221218,0.9720849332348234,1.0,30.7,0.0,tcn
F1,43,42,27,0.7936388731710263,0.9095323772004588,1.0,25.65,0.0,tcn
F1,43,42,28,0.5687778159937572,0.7648494635601651,0.05,1212.0,0.0,tcn
F0-C,43,42,1,0.9989191812164763,0.9996281244157766,1.0,7.15,0.0,tcn
F0-C,43,42,2,0.9974958486351347,0.9991253067574194,1.0,16.95,0.0,tcn
F0-C,43,42,3,0.5203356842324567,0.7193334565133065,0.0,,0.0,tcn
F0-C,43,42,4,0.50097395581,0.7097787326088165,1.0,4.0,0.0,tcn
F0-C,43,42,5,0.49464393493914416,0.7052067907822994,0.0,,0.0,tcn
