architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr
gru,46,conditional_XMV_02,conditional,2.0,9,20,0.8473880290985107,0.5447911337209302,0.6387371258823135,0.012,0.0,302.0,0.5435752491694352,0.6383396334346886,0.01275,-0.0012158845514950167,-0.0003974924476248809,-0.0007499999999999989
gru,46,conditional_XMV_02,conditional,2.0,10,20,0.8473880290985107,0.9232176910299004,0.9595700152703182,0.01075,1.0,41.45,0.923210568936877,0.9596207570658852,0.01125,-7.122093023337328e-06,5.0741795567077475e-05,-0.0005000000000000004
gru,46,conditional_XMV_02,conditional,2.0,11,20,0.8473880290985107,0.9826429817275748,0.9909638864609678,0.00825,1.0,8.35,0.9824344061461794,0.9908795838918288,0.00825,-0.00020857558139542043,-8.430256913893874e-05,0.0
gru,46,conditional_XMV_02,conditional,2.0,12,20,0.8473880290985107,0.8037339493355482,0.8806074622309042,0.00975,1.0,25.45,0.8029352159468438,0.8800314933533525,0.01125,-0.0007987333887043979,-0.0005759688775517358,-0.0014999999999999996
gru,46,conditional_XMV_02,conditional,2.0,13,20,0.8473880290985107,0.9477927740863789,0.9746467166664065,0.01125,1.0,33.7,0.9477892857142856,0.9746389297372916,0.01125,-3.4883720932965545e-06,-7.786929114850238e-06,0.0
gru,46,conditional_XMV_02,conditional,2.0,14,20,0.8473880290985107,0.9956484634551496,0.9978451764669514,0.00925,1.0,3.75,0.9956656976744186,0.997849755012782,0.0095,1.7234219269024464e-05,4.578545830580261e-06,-0.0002500000000000002
gru,46,conditional_XMV_02,conditional,2.0,15,20,0.8473880290985107,0.5126036129568107,0.6163556171104906,0.012,0.0,302.0,0.5122161337209302,0.6159625027773169,0.01175,-0.0003874792358804502,-0.00039311433317368305,0.0002500000000000002
gru,46,conditional_XMV_02,conditional,2.0,16,20,0.8473880290985107,0.5142258098006645,0.6141952742815551,0.00925,0.0,302.0,0.5141187084717608,0.6140962232550335,0.00975,-0.0001071013289036804,-9.905102652152387e-05,-0.0005000000000000004
gru,46,conditional_XMV_02,conditional,2.0,17,20,0.8473880290985107,0.9526200581395348,0.9771830314234312,0.008,1.0,30.75,0.9526912375415284,0.9772149537686164,0.008,7.117940199363737e-05,3.192234518523129e-05,0.0
gru,46,conditional_XMV_02,conditional,2.0,18,20,0.8473880290985107,0.8851377906976744,0.93756430950379,0.0095,1.0,62.25,0.8856800041528239,0.9379143755589736,0.01075,0.0005422134551494873,0.00035006605518361766,-0.0012499999999999994
