architecture,mode,fault_id,channel,mean_delta_auroc,median_delta_auroc,min_delta_auroc,mean_delta_auprc,positive_auroc_seeds,max_abs_pre_fpr_shift,stable_material_raw,method,r2,std_ratio,wasserstein,ks_statistic,observed_lag1,predicted_lag1,observed_std,imputer_reliable,stable_material,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high,run_ci_excludes_zero
gru,conditional,8,3.0,3.1686046511936183e-06,9.75913621248381e-07,-9.426910299037417e-06,7.310727377696225e-07,3,0.0004999999999999996,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
gru,conditional,8,4.0,0.00017311877076415795,0.00018999169435240937,6.420265780715528e-05,0.00010335026664005653,5,0.0005000000000000004,False,legacy_mean,0.578858077860626,0.7629849314689636,0.188949346998356,0.0666544735431671,0.6053401041017571,0.6451221459408996,0.995981752872467,True,False,,,,,,,False
gru,conditional,8,5.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,8,6.0,2.1096345515392302e-06,-1.2250830565552207e-06,-3.259966777413581e-06,3.1378096305045846e-06,2,0.0005000000000000004,False,legacy_mean,0.997028398791882,0.99845689535141,0.0014378663426005,0.0010824799537658,0.982810815577105,0.9823900750798902,0.9907699823379515,True,False,,,,,,,False
gru,conditional,8,7.0,7.147840531569471e-05,8.581810631247411e-05,-4.9771594684333564e-05,3.924926479161872e-05,4,0.0002500000000000002,False,legacy_mean,0.7184863700707094,0.8477235436439514,0.1213696854402002,0.0426122844219207,0.8106234837175326,0.886557398930125,0.994693160057068,True,False,,,,,,,False
gru,conditional,8,8.0,0.00011119186046513186,0.00014169435215938275,-1.9269102989993847e-05,6.248411131084541e-05,4,0.0005000000000000004,False,legacy_mean,0.2974372147454651,0.5468789935112,0.3615364657126344,0.1433535814285278,0.5001105345716035,0.6359453685855146,0.9983698129653932,False,False,,,,,,,False
gru,conditional,8,9.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,8,10.0,4.10797342193181e-05,2.6848006644653033e-05,-9.053156146077157e-06,2.0108133304441722e-05,3,0.0002500000000000002,False,legacy_mean,0.1901592773672956,0.4344758987426758,0.4539596056210538,0.1942001581192016,0.1148842134756825,0.4754276976683602,1.00121009349823,False,False,,,,,,,False
gru,conditional,8,11.0,2.6150332226015926e-05,4.9937707641278806e-05,-8.203903654480094e-05,1.3447202915028989e-05,3,0.0005000000000000004,False,legacy_mean,0.0145931334962615,0.1211393773555755,0.7025116868592033,0.3832193613052368,-0.013847639476689,-0.2776265762891957,0.9969984889030457,False,False,,,,,,,False
gru,conditional,9,1.0,5.510382059799035e-05,1.9289867109639758e-05,-0.00027441860465116097,0.0001548161458559072,4,0.0005000000000000004,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,9,2.0,-0.0005740199335548368,-0.0005475705980066969,-0.0012158845514950167,-0.00011179413846533759,0,0.0007499999999999989,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
