condition,fault_id,group,auroc_loss_mean,auroc_loss_sd,positive_seeds,signflip_p,bh_q_global,bh_q_within_fault,fpr_delta_mean,fpr_delta_ci_low,fpr_delta_ci_high,ci_outside_tolerance,ci_fully_inside_tolerance
occlude_XMV_03,14,NO_GAIN,0.0002101661129568333,0.00017204157476385375,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0006500000000000001,-0.00225,0.0009999999999999998,False,True
occlude_XMV_03,15,NO_GAIN,0.004844310631229231,0.0008530765320175414,5,0.0625,0.11824324324324324,0.1171875,0.0032500000000000003,0.0016,0.004900000000000001,False,True
occlude_XMV_03,16,NO_GAIN,-0.002775490033222594,0.0004464580747224076,0,0.0625,0.11824324324324324,0.13392857142857142,-0.00055,-0.0019500000000000003,0.0008500000000000001,False,True
occlude_XMV_03,17,NO_GAIN,-0.00022463455149501765,0.0001797167020478528,0,0.0625,0.11824324324324324,0.234375,0.00034999999999999994,-0.0009500000000000001,0.0016999999999999997,False,True
occlude_XMV_03,18,NO_GAIN,0.0016615116279069752,0.0003007677551494909,5,0.0625,0.11824324324324324,0.15625,-0.0010999999999999998,-0.0024999999999999996,0.00020124999999998226,False,True
occlude_XMV_03,19,GAIN,0.001087479235880373,0.00013174666169486952,5,0.0625,0.11824324324324324,0.08522727272727272,-0.0008500000000000003,-0.00215,0.00035,False,True
occlude_XMV_03,20,NO_GAIN,0.00020138704318946045,0.00015270221225788982,4,0.125,0.205078125,0.234375,0.0009999999999999998,-0.0008,0.00275,False,True
occlude_XMV_03,21,NO_GAIN,0.005061428571428583,0.0011644568031969039,5,0.0625,0.11824324324324324,0.13392857142857142,0.0021999999999999997,0.00075,0.0036999999999999997,False,True
occlude_XMV_03,22,NO_GAIN,0.0009875124584717509,0.0005757464407437159,5,0.0625,0.11824324324324324,0.09375,-0.0006000000000000001,-0.00195,0.0006012499999999819,False,True
occlude_XMV_03,23,NO_GAIN,0.02140235049833883,0.0026743144207233634,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0005499999999999999,-0.0014500000000000001,0.00034999999999999994,False,True
occlude_XMV_03,24,GAIN,0.0014528488372092863,0.0002833796881081631,5,0.0625,0.11824324324324324,0.1171875,0.001,-0.00019999999999999993,0.00225,False,True
occlude_XMV_03,25,GAIN,0.0032546553156146186,0.001127774054215724,5,0.0625,0.11824324324324324,0.13392857142857142,-0.00125,-0.0028000000000000004,0.0002999999999999999,False,True
occlude_XMV_03,26,GAIN,0.0020301619601329037,0.0005336921373754965,5,0.0625,0.11824324324324324,0.09375,0.0006000000000000002,-0.0005999999999999998,0.0018000000000000002,False,True
occlude_XMV_03,27,NO_GAIN,0.008244779900332233,0.0012652109447376329,5,0.0625,0.11824324324324324,0.09375,-0.00010000000000000009,-0.0012000000000000001,0.00105,False,True
occlude_XMV_03,28,NO_GAIN,0.0035674750830564815,0.0006107359996188373,5,0.0625,0.11824324324324324,0.09375,0.00095,-0.00039999999999999975,0.0022,False,True
