seed,fault_id,f0_auroc,f0c_auroc,f1_auroc,f0_auprc,f0c_auprc,f1_auprc,f0_detected_run_ratio,f0c_detected_run_ratio,f1_detected_run_ratio,f0_detection_delay,f0c_detection_delay,f1_detection_delay,f0_prefault_fpr,f0c_prefault_fpr,f1_prefault_fpr,f0_threshold,f0c_threshold,f1_threshold,f1_minus_f0_auroc,f1_minus_f0_auprc,f1_minus_f0_detected_run_ratio,f1_minus_f0_detection_delay,f1_minus_f0_prefault_fpr,f1_minus_f0c_auroc,f1_minus_f0c_auprc,f1_minus_f0c_detected_run_ratio,f1_minus_f0c_detection_delay,f1_minus_f0c_prefault_fpr
42,5,0.49563711277042427,0.4956566522308886,0.4963269296912272,0.7058560224760403,0.7055634774507844,0.7060293251541593,0.0,0.0,0.05,,,4.0,0.008808290155440414,0.009499136442141624,0.008808290155440414,0.8215875029563904,0.8246080875396729,0.8196030259132385,0.0006898169208029437,0.0001733026781189917,0.05,,0.0,0.0006702774603385975,0.0004658477033748776,0.05,,-0.0006908462867012098
43,5,0.49523385405687276,0.4860628880925172,0.4965451984087359,0.705541687439283,0.6993730164600928,0.706332157559766,0.0,0.1,0.1,,4.0,4.0,0.008894645941278066,0.008981001727115717,0.008031088082901554,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.0013113443518631418,0.0007904701204829445,0.1,,-0.0008635578583765114,0.010482310316218713,0.006959141099673216,0.0,0.0,-0.0009499136442141631
44,5,0.4952028128193654,0.4953732745793469,0.495154241542249,0.70615402855394,0.7054482042586756,0.7053963193243072,0.05,0.0,0.0,4.0,,,0.008635578583765112,0.00924006908462867,0.008894645941278066,0.8282229900360107,0.8202648758888245,0.8198217749595642,-4.857127711638265e-05,-0.0007577092296328081,-0.05,,0.00025906735751295325,-0.00021903303709785993,-5.18849343683625e-05,0.0,,-0.0003454231433506049
45,5,0.49514577547002575,0.4954682043050917,0.4957000458591754,0.7053601434091645,0.7054099337404001,0.7054135901884243,0.0,0.0,0.0,,,,0.009412780656303972,0.00924006908462867,0.008808290155440414,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.0005542703891496248,5.3446779259780364e-05,0.0,,-0.0006044905008635582,0.00023184155408367824,3.6564480242473607e-06,0.0,,-0.00043177892918825657
46,5,0.4953870939706279,0.4953253689999371,0.49598877682977494,0.7056041927207554,0.7053670642231488,0.7054809970154671,0.0,0.0,0.0,,,,0.008981001727115717,0.00932642487046632,0.00854922279792746,0.8233305811882019,0.8199812173843384,0.8454441428184509,0.0006016828591470236,-0.0001231957052882926,0.0,,-0.00043177892918825657,0.0006634078298378143,0.00011393279231830533,0.0,,-0.0007772020725388597
42,6,0.9995710811054034,0.9995705140295792,0.9995630218484453,0.9998588601829189,0.9998588690022988,0.9998571502282037,1.0,1.0,1.0,3.0,3.0,3.0,0.008203799654576857,0.009585492227979275,0.008894645941278066,0.8215875029563904,0.8246080875396729,0.8196030259132385,-8.059256958126149e-06,-1.709954715267692e-06,0.0,0.0,0.0006908462867012081,-7.492181133939013e-06,-1.7187740951607466e-06,0.0,0.0,-0.0006908462867012098
43,6,0.9995641220988216,0.9995797814045975,0.9995781942086766,0.9998572287208283,0.9998634561187972,0.99986172016968,1.0,1.0,1.0,3.0,3.0,3.0,0.008981001727115717,0.00924006908462867,0.009758203799654577,0.8208165168762207,0.8871942758560181,0.8420192003250122,1.4072109854934567e-05,4.491448851728919e-06,0.0,0.0,0.0007772020725388597,-1.5871959209157183e-06,-1.7359491172319608e-06,0.0,0.0,0.0005181347150259065
44,6,0.9995578657731524,0.999568217988878,0.999562633524783,0.999855663707879,0.9998582128945845,0.9998568345594179,1.0,1.0,1.0,3.0,3.0,3.0,0.008635578583765112,0.009153713298791019,0.009930915371329879,0.8282229900360107,0.8202648758888245,0.8198217749595642,4.7677516306077194e-06,1.1708515388342278e-06,0.0,0.0,0.0012953367875647662,-5.584464094932073e-06,-1.3783351666685206e-06,0.0,0.0,0.0007772020725388597
45,6,0.9995643039329174,0.9995611079675386,0.9995594283136028,0.9998571799489391,0.9998563969098353,0.9998560220649796,1.0,1.0,1.0,3.0,3.0,3.0,0.00924006908462867,0.009671848013816925,0.009499136442141624,0.8191421627998352,0.8209508061408997,0.8455680012702942,-4.875619314614887e-06,-1.1578839594905688e-06,0.0,0.0,0.00025906735751295325,-1.679653935826586e-06,-3.748448557105988e-07,0.0,0.0,-0.0001727115716753016
46,6,0.9995611572784798,0.9995623345772018,0.9995643193425865,0.9998564981477035,0.9998565992752594,0.9998576892781554,1.0,1.0,1.0,3.0,3.0,3.0,0.009067357512953367,0.009067357512953367,0.009585492227979275,0.8233305811882019,0.8199812173843384,0.8454441428184509,3.1620641066654187e-06,1.1911304519385268e-06,0.0,0.0,0.0005181347150259082,1.984765384710485e-06,1.0900028960536545e-06,0.0,0.0,0.0005181347150259082
