architecture,fault_id,channel,mean_normalized_xmv_ig,sd_normalized_xmv_ig,mean_abs_ig,mean_abs_convergence_delta,mean_delta_auroc,mean_delta_auprc,stable_material,ig_rank,chum_rank
transformer,26,7,0.01067999452352518,0.0004381584427655933,0.00032371076522388003,0.0035034413915127002,7.150332225920319e-05,5.2556619317867256e-05,False,6.0,4.0
transformer,26,8,0.00568931344896548,0.0006821540867645522,0.0001729421259369,0.0035034413915127002,-0.0002903945182723,-0.0001643853779209,False,7.0,11.0
transformer,26,9,0.0,0.0,0.0,0.0035034413915127002,4.152823951386608e-09,5.900752242382623e-09,False,10.0,7.0
transformer,26,10,0.00227954986039542,0.00037760468197068606,6.856660838820972e-05,0.0035034413915127002,2.8446843854723624e-06,1.0714091259300674e-06,False,9.0,6.0
transformer,26,11,0.00358744794502852,0.00039140449934723395,0.00010832352127177793,0.0035034413915127002,-1.4738372092981676e-05,2.0241589406833075e-07,False,8.0,9.0
transformer,27,1,0.14638631641864774,0.003880634704466507,0.0016378837404772,0.00111997532658276,-0.0031273214285714,-0.002411688081362,False,4.0,11.0
transformer,27,2,0.2084311187267303,0.017480722405996595,0.00234130632597946,0.00111997532658276,0.0005109136212624,0.0004947333820948,False,2.0,3.0
transformer,27,3,0.10989981293678279,0.007341425182224377,0.00122507214546198,0.00111997532658276,3.147009966779635e-05,-4.127730507894611e-05,False,5.0,6.0
transformer,27,4,0.168726173043251,0.015282320597448055,0.00187978695612394,0.00111997532658276,0.0096783596345515,0.0079360433617687,False,3.0,1.0
transformer,27,5,0.0,0.0,0.0,0.00111997532658276,0.0,0.0,False,10.0,7.0
transformer,27,6,0.23032765686511988,0.014374877956273109,0.00258281747810538,0.00111997532658276,-0.0001610340531561,-0.0001200146077344,False,1.0,9.0
transformer,27,7,0.03368413671851154,0.0018786670539022413,0.00037701199180444,0.00111997532658276,-0.001714792358804,-0.0012706478974681,False,7.0,10.0
transformer,27,8,0.01834756880998606,0.001548105089911758,0.00020516229269555998,0.00111997532658276,0.0003280564784053,0.0002531923154586,False,8.0,4.0
transformer,27,9,0.0,0.0,0.0,0.00111997532658276,0.0,0.0,False,10.0,7.0
transformer,27,10,0.07333659082651134,0.010095135945744276,0.0008218495873734001,0.00111997532658276,0.0053511544850498,0.0035287408645308,False,6.0,2.0
transformer,27,11,0.01086057163774962,0.0009326715505596083,0.00012111999822076,0.00111997532658276,9.512458471760964e-05,5.64683700770452e-05,False,9.0,5.0
