seed,condition,fault_id,run_index,pre_fpr,alarm_delay_censored
42,conditional_XMV_01,7,691,0.015,2
42,conditional_XMV_01,7,692,0.025,2
42,conditional_XMV_01,7,693,0.0,2
42,conditional_XMV_01,7,694,0.0,2
42,conditional_XMV_01,7,695,0.005,2
42,conditional_XMV_01,7,696,0.015,2
42,conditional_XMV_01,7,697,0.01,2
42,conditional_XMV_01,7,698,0.02,2
42,conditional_XMV_01,7,699,0.01,2
42,conditional_XMV_01,8,780,0.0,38
42,conditional_XMV_01,8,781,0.005,20
42,conditional_XMV_01,8,782,0.015,18
42,conditional_XMV_01,8,783,0.01,17
42,conditional_XMV_01,8,784,0.005,20
42,conditional_XMV_01,8,785,0.015,22
42,conditional_XMV_01,8,786,0.015,38
42,conditional_XMV_01,8,787,0.0,20
42,conditional_XMV_01,8,788,0.01,26
42,conditional_XMV_01,8,789,0.01,32
42,conditional_XMV_01,8,790,0.01,18
42,conditional_XMV_01,8,791,0.01,14
42,conditional_XMV_01,8,792,0.015,30
42,conditional_XMV_01,8,793,0.01,18
42,conditional_XMV_01,8,794,0.0,10
42,conditional_XMV_01,8,795,0.005,14
42,conditional_XMV_01,8,796,0.01,20
42,conditional_XMV_01,8,797,0.025,50
42,conditional_XMV_01,8,798,0.005,24
42,conditional_XMV_01,8,799,0.03,16
42,conditional_XMV_01,9,880,0.01,302
42,conditional_XMV_01,9,881,0.005,302
42,conditional_XMV_01,9,882,0.005,302
42,conditional_XMV_01,9,883,0.02,302
42,conditional_XMV_01,9,884,0.02,302
42,conditional_XMV_01,9,885,0.02,302
42,conditional_XMV_01,9,886,0.005,302
42,conditional_XMV_01,9,887,0.015,302
42,conditional_XMV_01,9,888,0.015,302
42,conditional_XMV_01,9,889,0.015,302
42,conditional_XMV_01,9,890,0.0,302
42,conditional_XMV_01,9,891,0.005,302
42,conditional_XMV_01,9,892,0.01,302
42,conditional_XMV_01,9,893,0.025,302
42,conditional_XMV_01,9,894,0.005,302
42,conditional_XMV_01,9,895,0.01,302
42,conditional_XMV_01,9,896,0.01,302
42,conditional_XMV_01,9,897,0.015,302
42,conditional_XMV_01,9,898,0.015,302
42,conditional_XMV_01,9,899,0.005,302
42,conditional_XMV_01,10,980,0.01,36
42,conditional_XMV_01,10,981,0.015,52
42,conditional_XMV_01,10,982,0.0,52
42,conditional_XMV_01,10,983,0.01,18
42,conditional_XMV_01,10,984,0.015,40
42,conditional_XMV_01,10,985,0.0,66
42,conditional_XMV_01,10,986,0.02,38
42,conditional_XMV_01,10,987,0.015,86
42,conditional_XMV_01,10,988,0.01,18
42,conditional_XMV_01,10,989,0.01,72
42,conditional_XMV_01,10,990,0.01,58
42,conditional_XMV_01,10,991,0.01,34
42,conditional_XMV_01,10,992,0.03,38
42,conditional_XMV_01,10,993,0.01,28
42,conditional_XMV_01,10,994,0.01,30
42,conditional_XMV_01,10,995,0.005,44
42,conditional_XMV_01,10,996,0.01,16
42,conditional_XMV_01,10,997,0.015,86
42,conditional_XMV_01,10,998,0.005,40
42,conditional_XMV_01,10,999,0.01,10
42,conditional_XMV_01,11,1080,0.015,12
42,conditional_XMV_01,11,1081,0.015,4
42,conditional_XMV_01,11,1082,0.015,9
42,conditional_XMV_01,11,1083,0.005,4
42,conditional_XMV_01,11,1084,0.01,16
42,conditional_XMV_01,11,1085,0.005,16
42,conditional_XMV_01,11,1086,0.01,8
42,conditional_XMV_01,11,1087,0.01,6
42,conditional_XMV_01,11,1088,0.015,16
42,conditional_XMV_01,11,1089,0.015,2
42,conditional_XMV_01,11,1090,0.02,6
42,conditional_XMV_01,11,1091,0.005,4
42,conditional_XMV_01,11,1092,0.01,6
42,conditional_XMV_01,11,1093,0.015,10
42,conditional_XMV_01,11,1094,0.01,11
42,conditional_XMV_01,11,1095,0.0,11
42,conditional_XMV_01,11,1096,0.01,6
42,conditional_XMV_01,11,1097,0.01,11
42,conditional_XMV_01,11,1098,0.005,8
42,conditional_XMV_01,11,1099,0.01,14
42,conditional_XMV_01,12,1180,0.005,10
42,conditional_XMV_01,12,1181,0.015,18
42,conditional_XMV_01,12,1182,0.005,13
42,conditional_XMV_01,12,1183,0.0,26
42,conditional_XMV_01,12,1184,0.0,14
42,conditional_XMV_01,12,1185,0.01,16
42,conditional_XMV_01,12,1186,0.015,26
42,conditional_XMV_01,12,1187,0.025,12
42,conditional_XMV_01,12,1188,0.01,18
42,conditional_XMV_01,12,1189,0.01,10
42,conditional_XMV_01,12,1190,0.015,28
42,conditional_XMV_01,12,1191,0.02,16
42,conditional_XMV_01,12,1192,0.005,12
42,conditional_XMV_01,12,1193,0.005,46
42,conditional_XMV_01,12,1194,0.02,42
42,conditional_XMV_01,12,1195,0.01,20
42,conditional_XMV_01,12,1196,0.005,28
42,conditional_XMV_01,12,1197,0.015,78
42,conditional_XMV_01,12,1198,0.01,34
42,conditional_XMV_01,12,1199,0.015,42
42,conditional_XMV_01,13,1280,0.005,30
42,conditional_XMV_01,13,1281,0.015,36
42,conditional_XMV_01,13,1282,0.005,28
42,conditional_XMV_01,13,1283,0.005,22
42,conditional_XMV_01,13,1284,0.025,54
42,conditional_XMV_01,13,1285,0.005,22
42,conditional_XMV_01,13,1286,0.015,30
42,conditional_XMV_01,13,1287,0.015,22
42,conditional_XMV_01,13,1288,0.015,28
42,conditional_XMV_01,13,1289,0.01,52
42,conditional_XMV_01,13,1290,0.01,10
42,conditional_XMV_01,13,1291,0.0,38
42,conditional_XMV_01,13,1292,0.015,46
