seed,condition,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
42,conditional_XMV_01,12,20,0.8197999000549316,0.7725610880398671,0.8589520968065728,0.01075,1.0,25.45
42,conditional_XMV_01,13,20,0.8197999000549316,0.9481669019933555,0.9747836519429208,0.01,1.0,33.9
42,conditional_XMV_01,14,20,0.8197999000549316,0.9942624169435216,0.9969950910518424,0.012,1.0,4.05
42,conditional_XMV_01,15,20,0.8197999000549316,0.5134013081395349,0.617105593955212,0.00925,0.0,302.0
42,conditional_XMV_01,16,20,0.8197999000549316,0.5083821636212624,0.6078661320334897,0.0105,0.0,302.0
42,conditional_XMV_01,17,20,0.8197999000549316,0.9508503322259136,0.9760601744745235,0.00875,1.0,31.4
42,conditional_XMV_01,18,20,0.8197999000549316,0.8746368147840532,0.9311729739130256,0.01025,1.0,63.0
42,conditional_XMV_01,19,20,0.8197999000549316,0.9415724252491694,0.9684921843046328,0.01025,1.0,30.3
42,conditional_XMV_01,20,20,0.8197999000549316,0.939378384551495,0.9701259865349308,0.01,1.0,41.45
42,conditional_XMV_01,21,20,0.8197999000549316,0.5008285091362126,0.600631314305913,0.01075,0.0,302.0
42,conditional_XMV_01,22,20,0.8197999000549316,0.558197861295681,0.6491382517318858,0.01325,0.0,302.0
42,conditional_XMV_01,23,20,0.8197999000549316,0.538609738372093,0.6322841115754665,0.0095,0.0,302.0
42,conditional_XMV_01,24,20,0.8197999000549316,0.965721511627907,0.982083123530183,0.01,1.0,15.55
42,conditional_XMV_01,25,20,0.8197999000549316,0.8625530523255814,0.9165959669472371,0.00875,1.0,41.0
42,conditional_XMV_01,26,20,0.8197999000549316,0.9228891403654486,0.9583833332169068,0.0095,1.0,28.7
42,conditional_XMV_01,27,20,0.8197999000549316,0.8042499377076412,0.8759300859472454,0.00925,1.0,24.55
42,conditional_XMV_01,28,20,0.8197999000549316,0.5540903031561462,0.6584611962960114,0.009,0.0,302.0
42,conditional_XMV_02,1,20,0.8198645114898682,0.9950681478405315,0.9975097006062121,0.00925,1.0,4.45
42,conditional_XMV_02,2,20,0.8198645114898682,0.9897129568106312,0.9947047723455325,0.0095,1.0,12.15
42,conditional_XMV_02,3,20,0.8198645114898682,0.5401570598006644,0.6340681653288329,0.01025,0.0,302.0
42,conditional_XMV_02,4,20,0.8198645114898682,0.9677754152823921,0.9773611030675473,0.01125,1.0,2.0
42,conditional_XMV_02,5,20,0.8198645114898682,0.5012805440199336,0.6066159725605627,0.01125,0.0,302.0
42,conditional_XMV_02,6,20,0.8198645114898682,0.997977657807309,0.9990533526572392,0.00775,1.0,1.0
42,conditional_XMV_02,7,20,0.8198645114898682,0.9967574750830565,0.9984173033958332,0.011,1.0,2.0
42,conditional_XMV_02,8,20,0.8198645114898682,0.9684965946843854,0.9844386939413357,0.0095,1.0,23.25
42,conditional_XMV_02,9,20,0.8198645114898682,0.5417262458471761,0.6367276802888346,0.01275,0.0,302.0
42,conditional_XMV_02,10,20,0.8198645114898682,0.9164017441860465,0.9555183848729596,0.01,1.0,42.6
42,conditional_XMV_02,11,20,0.8198645114898682,0.9715944559800664,0.9846001793513172,0.01075,1.0,9.05
42,conditional_XMV_02,12,20,0.8198645114898682,0.773308596345515,0.8593729206612626,0.01125,1.0,25.1
42,conditional_XMV_02,13,20,0.8198645114898682,0.9480461378737541,0.9747236739076612,0.01,1.0,34.1
42,conditional_XMV_02,14,20,0.8198645114898682,0.9943113787375415,0.9970276677349588,0.01175,1.0,4.05
42,conditional_XMV_02,15,20,0.8198645114898682,0.5135419850498338,0.6171501696936589,0.00925,0.0,302.0
42,conditional_XMV_02,16,20,0.8198645114898682,0.5082029277408638,0.6080721578416772,0.0105,0.0,302.0
42,conditional_XMV_02,17,20,0.8198645114898682,0.9508812707641195,0.9761141833224165,0.00875,1.0,31.3
42,conditional_XMV_02,18,20,0.8198645114898682,0.8744223837209303,0.9310915069660776,0.01025,1.0,63.0
42,conditional_XMV_02,19,20,0.8198645114898682,0.937094061461794,0.9657467983815798,0.00975,1.0,30.65
42,conditional_XMV_02,20,20,0.8198645114898682,0.9393757475083057,0.9701225290110929,0.01,1.0,41.35
42,conditional_XMV_02,21,20,0.8198645114898682,0.5008139327242525,0.6003325612859293,0.011,0.0,302.0
42,conditional_XMV_02,22,20,0.8198645114898682,0.5587547549833887,0.6494075298495835,0.01375,0.0,302.0
