architecture,seed,fault_id,auroc_F0,auroc_F0-C,auroc_F1,auprc_F0,auprc_F0-C,auprc_F1,delta_auroc_f0,delta_auroc_f0c,delta_auprc_f0,delta_auprc_f0c
tcn,45,22,0.5419114307692877,0.5406737939468355,0.5577569254135031,0.7362304336527846,0.7351493383841234,0.7478815309196198,0.015845494644215363,0.017083131466667623,0.01165109726683522,0.0127321925354964
tcn,45,23,0.5186601570060368,0.5192485783039256,0.5488066937137179,0.7204943947554608,0.7208447094284335,0.7403251071729394,0.030146536707681082,0.029558115409792363,0.01983071241747858,0.01948039774450594
tcn,45,24,0.8601800065090442,0.8616492444947416,0.9683495566329996,0.9424324527563512,0.9431197364262364,0.9882953014366962,0.10816955012395535,0.10670031213825804,0.04586284868034496,0.04517556501045983
tcn,45,25,0.6326613515635883,0.6312341080082201,0.9248103131368046,0.8035984071096705,0.802470696188582,0.9718960916121416,0.29214896157321635,0.2935762051285845,0.16829768450247118,0.1694253954235596
tcn,45,26,0.5360744977372441,0.537056250839827,0.9229825815263956,0.7334965648233369,0.7344488884586562,0.9715719915116776,0.3869080837891514,0.38592633068656856,0.2380754266883407,0.23712310305302142
tcn,45,27,0.7835351352784035,0.7822222838608988,0.7908349236111881,0.9037236331237516,0.9030346929579388,0.9080992300274804,0.0072997883327846624,0.008612639750289364,0.004375596903728796,0.005064537069541575
tcn,45,28,0.5665588729491271,0.5665039775437973,0.5685750124201934,0.7629957210208517,0.7628934900066464,0.7645737383282794,0.0020161394710662695,0.0020710348763960384,0.0015780173074276815,0.0016802483216329378
tcn,46,1,0.9989480527725692,0.9989381751746532,0.99900168458503,0.999636813892873,0.9996337411238412,0.9996557444673484,5.3631812460874784e-05,6.350941037680524e-05,1.8930574475439776e-05,2.2003343507215334e-05
tcn,46,2,0.997374025954814,0.9973462669768324,0.99777641864496,0.9990832922106664,0.9990715703554666,0.9992229887440892,0.0004023926901460806,0.00043015166812765404,0.0001396965334228284,0.00015141838862264834
tcn,46,3,0.5249213798680685,0.5242836907760187,0.5419586706509907,0.722305499261764,0.7218011786086331,0.7341727454526464,0.017037290782922154,0.01767497987497202,0.011867246190882419,0.012371566844013304
tcn,46,4,0.5011981541681922,0.5010269897272982,0.7195371520959,0.7101767580983569,0.7100433204092007,0.8458667217124914,0.21833899792770772,0.21851016236860177,0.13568996361413455,0.13582340130329074
tcn,46,5,0.4939639555511175,0.4942841900492986,0.4938371124005922,0.704838581225143,0.7049607171893771,0.7046040505264284,-0.00012684315052530204,-0.00044707764870638433,-0.00023453069871459675,-0.00035666666294875693
tcn,46,6,0.9995950431409096,0.999587476993364,0.9995915482279496,0.999866595972969,0.9998637817908528,0.9998660818802654,-3.4949129600336803e-06,4.0712345855675736e-06,-5.14092703629565e-07,2.300089412599071e-06
tcn,46,7,0.5115072443936541,0.5111518172931006,0.9992827353765322,0.7213269735589531,0.7215497463122192,0.999759891644214,0.4877754909828781,0.4881309180834317,0.2784329180852608,0.27821014533199473
tcn,46,8,0.9918440566138916,0.9918340557386224,0.9925103830350638,0.9972088625858906,0.9972070451820072,0.9974526717803414,0.0006663264211721476,0.0006763272964414035,0.00024380919445077254,0.0002456265983341588
tcn,46,9,0.5270511440754754,0.5262908864751183,0.5421391117127046,0.726305935737011,0.7257738211073992,0.7364171381005984,0.015087967637229194,0.015848225237586222,0.010111202363587424,0.010643316993199203
tcn,46,10,0.9590170603528938,0.9598282006807376,0.9608847615631076,0.9850991084452072,0.9854253832581972,0.9858359570816124,0.0018677012102138457,0.00105656088237005,0.0007368486364052185,0.00041057382341525006
tcn,46,11,0.9421872145358792,0.943019062377108,0.9584899541284968,0.9781276502019703,0.9784494314403852,0.9842338329338725,0.016302739592617632,0.015470891751388827,0.00610618273190211,0.005784401493487246
